OBJECTID,BoroName,hour12
1,Brooklyn,2
2,Brooklyn,2
3,Brooklyn,3
4,Brooklyn,3
5,Brooklyn,4
6,Brooklyn,4
7,Brooklyn,4
8,Brooklyn,5
9,Brooklyn,5
10,Brooklyn,5
11,Brooklyn,5
12,Brooklyn,5
13,Brooklyn,5
14,Brooklyn,6
15,Brooklyn,6
16,Brooklyn,6
17,Brooklyn,6
18,Brooklyn,6
19,Brooklyn,6
20,Brooklyn,7
21,Brooklyn,7
22,Brooklyn,7
23,Brooklyn,7
24,Brooklyn,7
25,Brooklyn,7
26,Brooklyn,7
27,Brooklyn,7
28,Brooklyn,7
29,Brooklyn,7
30,Brooklyn,7
31,Brooklyn,8
32,Brooklyn,8
33,Brooklyn,8
34,Brooklyn,8
35,Brooklyn,8
36,Brooklyn,8
37,Brooklyn,8
38,Brooklyn,8
39,Brooklyn,8
40,Brooklyn,9
41,Brooklyn,9
42,Brooklyn,9
43,Brooklyn,9
44,Brooklyn,9
45,Brooklyn,9
46,Brooklyn,9
47,Brooklyn,9
48,Brooklyn,9
49,Brooklyn,9
50,Brooklyn,9
51,Brooklyn,9
52,Brooklyn,10
53,Brooklyn,10
54,Brooklyn,10
55,Brooklyn,10
56,Brooklyn,10
57,Brooklyn,10
58,Brooklyn,10
59,Brooklyn,10
60,Brooklyn,10
61,Brooklyn,10
62,Brooklyn,11
63,Brooklyn,11
64,Brooklyn,11
65,Brooklyn,11
66,Brooklyn,11
67,Brooklyn,11
68,Brooklyn,11
69,Brooklyn,11
70,Brooklyn,12
71,Brooklyn,12
72,Brooklyn,12
73,Brooklyn,12
74,Brooklyn,12
75,Brooklyn,12
76,Brooklyn,12
77,Brooklyn,12
78,Brooklyn,12
79,Brooklyn,12
80,Brooklyn,12
81,Brooklyn,12
82,Brooklyn,12
83,Brooklyn,12
84,Brooklyn,13
85,Brooklyn,13
86,Brooklyn,13
87,Brooklyn,13
88,Brooklyn,13
89,Brooklyn,13
90,Brooklyn,13
91,Brooklyn,13
92,Brooklyn,13
93,Brooklyn,13
94,Brooklyn,13
95,Brooklyn,13
96,Brooklyn,13
97,Brooklyn,14
98,Brooklyn,14
99,Brooklyn,14
100,Brooklyn,14
101,Brooklyn,14
102,Brooklyn,14
103,Brooklyn,14
104,Brooklyn,14
105,Brooklyn,14
106,Brooklyn,14
107,Brooklyn,14
108,Brooklyn,15
109,Brooklyn,15
110,Brooklyn,15
111,Brooklyn,15
112,Brooklyn,15
113,Brooklyn,15
114,Brooklyn,15
115,Brooklyn,15
116,Brooklyn,15
117,Brooklyn,15
118,Brooklyn,15
119,Brooklyn,16
120,Brooklyn,16
121,Brooklyn,16
122,Brooklyn,16
123,Brooklyn,16
124,Brooklyn,16
125,Brooklyn,16
126,Brooklyn,16
127,Brooklyn,16
128,Brooklyn,16
129,Brooklyn,16
130,Brooklyn,17
131,Brooklyn,17
132,Brooklyn,17
133,Brooklyn,17
134,Brooklyn,17
135,Brooklyn,17
136,Brooklyn,17
137,Brooklyn,17
138,Brooklyn,17
139,Brooklyn,18
140,Brooklyn,18
141,Brooklyn,18
142,Brooklyn,18
143,Brooklyn,18
144,Brooklyn,18
145,Brooklyn,18
146,Brooklyn,18
147,Brooklyn,18
148,Brooklyn,18
149,Brooklyn,18
150,Brooklyn,18
151,Brooklyn,18
152,Brooklyn,19
153,Brooklyn,19
154,Brooklyn,19
155,Brooklyn,19
156,Brooklyn,19
157,Brooklyn,19
158,Brooklyn,19
159,Brooklyn,19
160,Brooklyn,20
161,Brooklyn,20
162,Brooklyn,20
163,Brooklyn,20
164,Brooklyn,20
165,Brooklyn,20
166,Brooklyn,20
167,Brooklyn,20
168,Brooklyn,20
169,Brooklyn,20
170,Brooklyn,20
171,Brooklyn,20
172,Brooklyn,20
173,Brooklyn,20
174,Brooklyn,21
175,Brooklyn,21
176,Brooklyn,21
177,Brooklyn,21
178,Brooklyn,21
179,Brooklyn,21
180,Brooklyn,21
181,Brooklyn,21
182,Brooklyn,21
183,Brooklyn,21
184,Brooklyn,21
185,Brooklyn,21
186,Brooklyn,21
187,Brooklyn,21
188,Brooklyn,22
189,Brooklyn,22
190,Brooklyn,22
191,Brooklyn,22
192,Brooklyn,22
193,Brooklyn,22
194,Brooklyn,22
195,Brooklyn,22
196,Brooklyn,22
197,Brooklyn,22
198,Brooklyn,23
199,Brooklyn,23
200,Brooklyn,23
201,Brooklyn,23
202,Brooklyn,23
203,Brooklyn,23
204,Brooklyn,23
205,Brooklyn,23
206,Brooklyn,23
207,Brooklyn,23
208,Brooklyn,23
209,Brooklyn,23
210,Brooklyn,23
211,Brooklyn,24
212,Brooklyn,24
213,Brooklyn,24
214,Brooklyn,24
215,Brooklyn,24
216,Brooklyn,24
217,Brooklyn,24
218,Brooklyn,24
219,Brooklyn,24
220,Brooklyn,24
221,Brooklyn,24
222,Manhattan,24
223,Brooklyn,24
224,Brooklyn,24
225,Brooklyn,24
226,Brooklyn,25
227,Brooklyn,25
228,Brooklyn,25
229,Brooklyn,25
230,Brooklyn,25
231,Brooklyn,25
232,Brooklyn,26
233,Brooklyn,26
234,Brooklyn,26
235,Brooklyn,26
236,Brooklyn,26
237,Brooklyn,26
238,Brooklyn,26
239,Brooklyn,27
240,Brooklyn,27
241,Brooklyn,27
242,Brooklyn,27
243,Brooklyn,27
244,Brooklyn,27
245,Brooklyn,27
246,Brooklyn,27
247,Brooklyn,27
248,Brooklyn,27
249,Brooklyn,27
250,Brooklyn,27
251,Brooklyn,27
252,Brooklyn,27
253,Brooklyn,27
254,Brooklyn,27
255,Brooklyn,28
256,Brooklyn,28
257,Brooklyn,28
258,Brooklyn,28
259,Brooklyn,28
260,Brooklyn,28
261,Brooklyn,28
262,Brooklyn,28
263,Brooklyn,28
264,Brooklyn,28
265,Brooklyn,28
266,Brooklyn,28
267,Brooklyn,29
268,Brooklyn,29
269,Brooklyn,29
270,Brooklyn,29
271,Brooklyn,29
272,Brooklyn,29
273,Brooklyn,30
274,Brooklyn,30
275,Brooklyn,30
276,Brooklyn,30
277,Brooklyn,30
278,Brooklyn,30
279,Brooklyn,30
280,Brooklyn,30
281,Brooklyn,31
282,Brooklyn,31
283,Brooklyn,31
284,Brooklyn,31
285,Brooklyn,31
286,Brooklyn,31
287,Brooklyn,31
288,Brooklyn,31
289,Brooklyn,31
290,Brooklyn,31
291,Brooklyn,32
292,Brooklyn,32
293,Brooklyn,32
294,Brooklyn,32
295,Brooklyn,32
296,Brooklyn,32
297,Brooklyn,32
298,Brooklyn,33
299,Brooklyn,33
300,Brooklyn,33
301,Brooklyn,33
302,Brooklyn,33
303,Brooklyn,33
304,Brooklyn,33
305,Brooklyn,34
306,Brooklyn,34
307,Brooklyn,34
308,Brooklyn,34
309,Brooklyn,34
310,Brooklyn,34
311,Brooklyn,34
312,Brooklyn,34
313,Brooklyn,34
314,Brooklyn,35
315,Brooklyn,35
316,Brooklyn,35
317,Brooklyn,35
318,Brooklyn,35
319,Brooklyn,36
320,Brooklyn,36
321,Brooklyn,36
322,Brooklyn,36
323,Brooklyn,36
324,Brooklyn,36
325,Brooklyn,36
326,Brooklyn,36
327,Brooklyn,36
328,Brooklyn,37
329,Brooklyn,37
330,Brooklyn,37
331,Brooklyn,37
332,Brooklyn,38
333,Brooklyn,38
334,Brooklyn,38
335,Brooklyn,38
336,Brooklyn,38
337,Brooklyn,38
338,Brooklyn,38
339,Brooklyn,38
340,Brooklyn,38
341,Brooklyn,39
342,Brooklyn,39
343,Brooklyn,39
344,Brooklyn,39
345,Brooklyn,39
346,Brooklyn,39
347,Brooklyn,39
348,Brooklyn,40
349,Brooklyn,40
350,Brooklyn,40
351,Brooklyn,40
352,Brooklyn,40
353,Brooklyn,40
354,Brooklyn,40
355,Brooklyn,40
356,Brooklyn,40
357,Brooklyn,41
358,Brooklyn,41
359,Brooklyn,41
360,Brooklyn,41
361,Brooklyn,41
362,Brooklyn,41
363,Brooklyn,41
364,Brooklyn,41
365,Brooklyn,42
366,Brooklyn,42
367,Brooklyn,42
368,Brooklyn,42
369,Brooklyn,42
370,Brooklyn,42
371,Brooklyn,43
372,Brooklyn,43
373,Brooklyn,43
374,Brooklyn,43
375,Brooklyn,43
376,Brooklyn,43
377,Brooklyn,43
378,Brooklyn,43
379,Brooklyn,44
380,Brooklyn,44
381,Brooklyn,44
382,Brooklyn,44
383,Brooklyn,44
384,Brooklyn,45
385,Brooklyn,45
386,Brooklyn,45
387,Brooklyn,45
388,Brooklyn,46
389,Brooklyn,46
390,Brooklyn,46
391,Brooklyn,46
392,Brooklyn,46
393,Brooklyn,46
394,Brooklyn,46
395,Brooklyn,47
396,Brooklyn,47
397,Brooklyn,47
398,Brooklyn,47
399,Brooklyn,47
400,Brooklyn,47
401,Brooklyn,47
402,Brooklyn,47
403,Brooklyn,47
404,Brooklyn,47
405,Brooklyn,47
406,Brooklyn,47
407,Brooklyn,47
408,Brooklyn,48
409,Brooklyn,48
410,Brooklyn,49
411,Brooklyn,49
412,Brooklyn,49
413,Brooklyn,49
414,Brooklyn,49
415,Brooklyn,49
416,Brooklyn,49
417,Brooklyn,49
418,Brooklyn,49
419,Brooklyn,50
420,Brooklyn,50
421,Brooklyn,50
422,Brooklyn,50
423,Brooklyn,50
424,Brooklyn,50
425,Brooklyn,50
426,Brooklyn,50
427,Brooklyn,50
428,Brooklyn,50
429,Manhattan,51
430,Brooklyn,51
431,Brooklyn,51
432,Brooklyn,51
433,Brooklyn,52
434,Brooklyn,52
435,Brooklyn,52
436,Brooklyn,52
437,Brooklyn,52
438,Brooklyn,52
439,Brooklyn,52
440,Brooklyn,52
441,Brooklyn,52
442,Brooklyn,52
443,Brooklyn,53
444,Brooklyn,53
445,Brooklyn,53
446,Brooklyn,54
447,Brooklyn,54
448,Brooklyn,54
449,Brooklyn,54
450,Brooklyn,54
451,Brooklyn,54
452,Brooklyn,54
453,Brooklyn,55
454,Brooklyn,55
455,Brooklyn,56
456,Brooklyn,56
457,Brooklyn,56
458,Brooklyn,57
459,Brooklyn,57
460,Brooklyn,57
461,Brooklyn,57
462,Brooklyn,58
463,Brooklyn,58
464,Manhattan,59
465,Brooklyn,59
466,Brooklyn,59
467,Brooklyn,59
468,Brooklyn,60
469,Brooklyn,60
470,Brooklyn,60
471,Brooklyn,61
472,Brooklyn,62
473,Brooklyn,62
474,Brooklyn,62
475,Brooklyn,63
476,Brooklyn,63
477,Brooklyn,63
478,Brooklyn,63
479,Brooklyn,63
480,Brooklyn,63
481,Brooklyn,63
482,Brooklyn,64
483,Brooklyn,64
484,Brooklyn,64
485,Brooklyn,65
486,Brooklyn,65
487,Brooklyn,65
488,Manhattan,65
489,Brooklyn,66
490,Brooklyn,66
491,Brooklyn,66
492,Brooklyn,66
493,Brooklyn,66
494,Brooklyn,66
495,Brooklyn,67
496,Brooklyn,67
497,Brooklyn,68
498,Brooklyn,68
499,Brooklyn,69
500,Brooklyn,69
501,Brooklyn,69
502,Brooklyn,69
503,Brooklyn,70
504,Brooklyn,70
505,Brooklyn,70
506,Brooklyn,70
507,Brooklyn,70
508,Brooklyn,71
509,Brooklyn,71
510,Brooklyn,72
511,Brooklyn,73
512,Brooklyn,73
513,Brooklyn,74
514,Brooklyn,74
515,Brooklyn,74
516,Brooklyn,75
517,Brooklyn,75
518,Brooklyn,75
519,Brooklyn,76
520,Brooklyn,76
521,Brooklyn,76
522,Brooklyn,77
523,Brooklyn,77
524,Brooklyn,77
525,Brooklyn,77
526,Manhattan,77
527,Brooklyn,79
528,Brooklyn,79
529,Brooklyn,79
530,Brooklyn,80
531,Brooklyn,80
532,Brooklyn,81
533,Brooklyn,82
534,Brooklyn,83
535,Brooklyn,84
536,Brooklyn,85
537,Brooklyn,85
538,Brooklyn,85
539,Brooklyn,85
540,Brooklyn,86
541,Brooklyn,87
542,Brooklyn,87
543,Brooklyn,88
544,Brooklyn,89
545,Brooklyn,89
546,Brooklyn,89
547,Brooklyn,89
548,Brooklyn,89
549,Brooklyn,90
550,Brooklyn,90
551,Manhattan,91
552,Brooklyn,91
553,Brooklyn,94
554,Manhattan,94
555,Brooklyn,95
556,Brooklyn,95
557,Manhattan,96
558,Brooklyn,96
559,Brooklyn,97
560,Brooklyn,97
561,Brooklyn,98
562,Brooklyn,98
563,Brooklyn,98
564,Brooklyn,98
565,Brooklyn,100
566,Brooklyn,102
567,Manhattan,102
568,Brooklyn,103
569,Brooklyn,103
570,Brooklyn,104
571,Brooklyn,104
572,Brooklyn,104
573,Brooklyn,109
574,Brooklyn,110
575,Brooklyn,110
576,Brooklyn,110
577,Brooklyn,112
578,Brooklyn,113
579,Manhattan,113
580,Brooklyn,114
581,Brooklyn,115
582,Brooklyn,118
583,Brooklyn,119
584,Brooklyn,119
585,Brooklyn,119
586,Brooklyn,120
587,Brooklyn,121
588,Brooklyn,123
589,Brooklyn,124
590,Brooklyn,124
591,Brooklyn,125
592,Brooklyn,125
593,Brooklyn,126
594,Brooklyn,128
595,Brooklyn,128
596,Brooklyn,129
597,Brooklyn,130
598,Brooklyn,132
599,Manhattan,133
600,Brooklyn,135
601,Brooklyn,136
602,Brooklyn,137
603,Brooklyn,137
604,Brooklyn,138
605,Brooklyn,142
606,Brooklyn,142
607,Brooklyn,142
608,Brooklyn,143
609,Brooklyn,143
610,Manhattan,143
611,Brooklyn,144
612,Brooklyn,146
613,Brooklyn,146
614,Manhattan,146
615,Brooklyn,148
616,Brooklyn,149
617,Manhattan,149
618,Manhattan,150
619,Brooklyn,153
620,Brooklyn,154
621,Brooklyn,155
622,Manhattan,155
623,Manhattan,155
624,Brooklyn,158
625,Brooklyn,158
626,Manhattan,159
627,Brooklyn,165
628,Brooklyn,167
629,Brooklyn,169
630,Brooklyn,173
631,Brooklyn,173
632,Brooklyn,175
633,Brooklyn,178
634,Brooklyn,178
635,Brooklyn,184
636,Brooklyn,185
637,Brooklyn,187
638,Brooklyn,190
639,Brooklyn,190
640,Manhattan,191
641,Brooklyn,191
642,Brooklyn,197
643,Brooklyn,199
644,Manhattan,200
645,Brooklyn,200
646,Brooklyn,200
647,Brooklyn,200
648,Brooklyn,201
649,Brooklyn,206
650,Brooklyn,207
651,Brooklyn,208
652,Brooklyn,211
653,Manhattan,213
654,Brooklyn,214
655,Brooklyn,214
656,Brooklyn,215
657,Brooklyn,217
658,Brooklyn,220
659,Brooklyn,221
660,Brooklyn,227
661,Brooklyn,227
662,Brooklyn,233
663,Brooklyn,242
664,Brooklyn,243
665,Brooklyn,245
666,Brooklyn,248
667,Manhattan,261
668,Brooklyn,264
669,Brooklyn,268
670,Brooklyn,269
671,Brooklyn,280
672,Brooklyn,281
673,Brooklyn,284
674,Brooklyn,287
675,Brooklyn,290
676,Brooklyn,300
677,Brooklyn,300
678,Brooklyn,303
679,Brooklyn,308
680,Brooklyn,309
681,Brooklyn,309
682,Brooklyn,310
683,Manhattan,319
684,Brooklyn,333
685,Brooklyn,348
686,Brooklyn,352
687,Brooklyn,353
688,Brooklyn,353
689,Manhattan,353
690,Brooklyn,355
691,Brooklyn,355
692,Brooklyn,358
693,Manhattan,360
694,Brooklyn,364
695,Manhattan,369
696,Brooklyn,373
697,Brooklyn,377
698,Brooklyn,378
699,Brooklyn,379
700,Brooklyn,380
701,Brooklyn,381
702,Brooklyn,384
703,Manhattan,395
704,Brooklyn,398
705,Brooklyn,418
706,Brooklyn,435
707,Brooklyn,451
708,Brooklyn,452
709,Brooklyn,456
710,Brooklyn,459
711,Manhattan,460
712,Brooklyn,461
713,Brooklyn,463
714,Brooklyn,467
715,Brooklyn,470
716,Brooklyn,479
717,Brooklyn,493
718,Brooklyn,501
719,Brooklyn,513
720,Manhattan,522
721,Brooklyn,526
722,Brooklyn,541
723,Brooklyn,546
724,Brooklyn,546
725,Brooklyn,574
726,Brooklyn,576
727,Brooklyn,580
728,Brooklyn,583
729,Brooklyn,592
730,Manhattan,594
731,Brooklyn,602
732,Brooklyn,651
733,Brooklyn,684
734,Manhattan,706
735,Brooklyn,727
736,Manhattan,756
737,Manhattan,757
738,Manhattan,764
739,Brooklyn,767
740,Brooklyn,768
741,Manhattan,768
742,Brooklyn,784
743,Manhattan,807
744,Manhattan,809
745,Manhattan,816
746,Brooklyn,817
747,Brooklyn,836
748,Brooklyn,858
749,Manhattan,899
750,Brooklyn,934
751,Manhattan,949
752,Brooklyn,987
753,Brooklyn,994
754,Manhattan,1049
755,Brooklyn,1075
756,Manhattan,1078
757,Manhattan,1111
758,Manhattan,1149
759,Brooklyn,1150
760,Manhattan,1152
761,Brooklyn,1234
762,Manhattan,1270
763,Manhattan,1315
764,Brooklyn,1316
765,Manhattan,1328
766,Manhattan,1335
767,Brooklyn,1343
768,Brooklyn,1349
769,Brooklyn,1379
770,Brooklyn,1386
771,Brooklyn,1409
772,Brooklyn,1418
773,Brooklyn,1431
774,Manhattan,1484
775,Brooklyn,1518
776,Brooklyn,1624
777,Manhattan,1658
778,Brooklyn,1876
779,Brooklyn,1892
780,Manhattan,2005
781,Brooklyn,2063
782,Manhattan,2107
783,Manhattan,2145
784,Manhattan,2165
785,Brooklyn,2232
786,Manhattan,2262
787,Manhattan,2280
788,Brooklyn,2287
789,Manhattan,2376
790,Brooklyn,2402
791,Manhattan,2430
792,Brooklyn,2458
793,Brooklyn,2525
794,Brooklyn,2531
795,Manhattan,2568
796,Brooklyn,2629
797,Manhattan,2730
798,Manhattan,2754
799,Brooklyn,2763
800,Manhattan,2886
801,Brooklyn,3077
802,Brooklyn,3079
803,Manhattan,3099
804,Manhattan,3166
805,Brooklyn,3218
806,Brooklyn,3362
807,Manhattan,3443
808,Manhattan,3480
809,Brooklyn,3563
810,Manhattan,3601
811,Manhattan,3623
812,Brooklyn,3781
813,Brooklyn,4074
814,Manhattan,4161
815,Brooklyn,4214
816,Manhattan,4402
817,Manhattan,4437
818,Brooklyn,4471
819,Manhattan,4575
820,Manhattan,4869
821,Manhattan,4916
822,Manhattan,5045
823,Manhattan,5154
824,Manhattan,5261
825,Manhattan,5333
826,Manhattan,5524
827,Manhattan,5555
828,Brooklyn,5905
829,Manhattan,5989
830,Manhattan,6040
831,Brooklyn,6164
832,Brooklyn,6202
833,Manhattan,6239
834,Manhattan,6519
835,Brooklyn,6805
836,Manhattan,6896
837,Manhattan,7128
838,Manhattan,7218
839,Manhattan,7506
840,Manhattan,7587
841,Manhattan,7828
842,Brooklyn,8088
843,Manhattan,8321
844,Manhattan,8360
845,Manhattan,8863
846,Manhattan,9011
847,Brooklyn,9428
848,Manhattan,9547
849,Manhattan,9657
850,Manhattan,9683
851,Manhattan,9766
852,Manhattan,10040
853,Manhattan,10669
854,Brooklyn,10735
855,Manhattan,11532
856,Manhattan,11814
857,Manhattan,11868
858,Brooklyn,12309
859,Manhattan,12699
860,Brooklyn,13088
861,Brooklyn,13127
862,Manhattan,13550
863,Manhattan,13990
864,Manhattan,14644
865,Brooklyn,15066
866,Manhattan,15091
867,Brooklyn,15641
868,Manhattan,16569
869,Manhattan,17538
870,Manhattan,17668
871,Manhattan,17930
872,Brooklyn,18232
873,Brooklyn,18604
874,Manhattan,20101
875,Manhattan,22492
876,Manhattan,23443
877,Manhattan,24276
878,Manhattan,28608
879,Manhattan,31877
880,Manhattan,35020
881,Manhattan,36538
882,Manhattan,37991
883,Manhattan,41471
884,Manhattan,41644
885,Manhattan,42548
886,Manhattan,43792
887,Manhattan,44100
888,Manhattan,53405
889,Manhattan,53847
890,Manhattan,55401
891,Manhattan,56058
892,Manhattan,56739
893,Manhattan,59838
894,Manhattan,59876
895,Manhattan,62129
896,Manhattan,65895
897,Manhattan,66297
898,Manhattan,67299
899,Manhattan,67727
900,Manhattan,67850
901,Manhattan,69707
902,Manhattan,73207
903,Manhattan,75904
904,Manhattan,75960
905,Manhattan,77789
906,Manhattan,78289
907,Manhattan,79328
908,Manhattan,80477
909,Manhattan,83087
910,Manhattan,83325
911,Manhattan,84171
912,Manhattan,85731
913,Manhattan,86602
914,Manhattan,86935
915,Manhattan,87055
916,Manhattan,88255
917,Manhattan,90675
918,Manhattan,95431
919,Manhattan,95602
920,Manhattan,96025
921,Manhattan,96344
922,Manhattan,96602
923,Manhattan,96923
924,Manhattan,97764
925,Manhattan,100483
926,Manhattan,103832
927,Manhattan,113203
928,Manhattan,113316
929,Manhattan,116105
930,Manhattan,116720
931,Manhattan,118005
932,Manhattan,118647
933,Manhattan,119668
934,Manhattan,121307
935,Manhattan,121418
936,Manhattan,122830
937,Manhattan,123708
938,Manhattan,128100
939,Manhattan,129009
940,Manhattan,131914
941,Manhattan,132476
942,Manhattan,133093
943,Manhattan,135539
944,Manhattan,135805
945,Manhattan,137434
946,Manhattan,137730
947,Manhattan,138814
948,Manhattan,143175
949,Manhattan,143518
950,Manhattan,143641
951,Manhattan,147344
952,Manhattan,148366
953,Manhattan,150922
954,Manhattan,153096
955,Manhattan,155591
956,Manhattan,155998
957,Manhattan,158434
958,Manhattan,164472
959,Manhattan,166371
960,Manhattan,167977
961,Manhattan,168160
962,Manhattan,170156
963,Manhattan,170265
964,Manhattan,171874
965,Manhattan,172180
966,Manhattan,172268
967,Manhattan,172695
968,Manhattan,173455
969,Manhattan,173998
970,Manhattan,177268
971,Manhattan,178279
972,Manhattan,178457
973,Manhattan,178877
974,Manhattan,184179
975,Manhattan,186193
976,Manhattan,186557
977,Manhattan,187575
978,Manhattan,193367
979,Manhattan,198643
980,Manhattan,208028
981,Manhattan,208397
982,Manhattan,210515
983,Manhattan,213482
984,Manhattan,218439
985,Manhattan,219846
986,Manhattan,223483
987,Manhattan,225525
988,Manhattan,229475
989,Manhattan,232724
990,Manhattan,233140
991,Manhattan,236506
992,Manhattan,236625
993,Manhattan,236669
994,Manhattan,237009
995,Manhattan,237113
996,Manhattan,241702
997,Manhattan,242300
998,Manhattan,242507
999,Manhattan,246056
1000,Manhattan,250671
1001,Manhattan,250994
1002,Manhattan,253235
1003,Manhattan,263427
1004,Manhattan,268638
1005,Manhattan,271941
1006,Manhattan,272655
1007,Manhattan,278797
1008,Manhattan,279458
1009,Manhattan,282005
1010,Manhattan,282626
1011,Manhattan,287760
1012,Manhattan,291102
1013,Manhattan,304637
1014,Manhattan,304844
1015,Manhattan,305060
1016,Manhattan,307788
1017,Manhattan,314078
1018,Manhattan,315795
1019,Manhattan,318954
1020,Manhattan,320062
1021,Manhattan,320424
1022,Manhattan,330054
1023,Manhattan,350608
1024,Manhattan,356273
1025,Manhattan,356476
1026,Manhattan,356844
1027,Manhattan,356871
1028,Manhattan,359597
1029,Manhattan,359639
1030,Manhattan,361932
1031,Manhattan,398608
1032,Manhattan,415471
1033,Manhattan,419816
1034,Manhattan,420365
1035,Manhattan,423896
1036,Manhattan,438526
1037,Manhattan,456655
1038,Manhattan,465875
1039,Manhattan,483851
1040,Manhattan,498817
1041,Manhattan,530395
1042,Manhattan,539157
1043,Manhattan,578964
1044,Manhattan,610234
1045,Manhattan,633901
1046,Manhattan,640306
1047,Manhattan,788803
1048,Manhattan,908136
